zipcode,longitude,latitude,is_for_sale,property_type,bedroom,bathroom,size,list_price,last_update
91902,-117.016172,32.65674,true,Single Family,5,3,3097,599000,1.482048381679143e+09
91902,-117.007984,32.674368,true,Single Family,5,5,4954,1.6999e+06,1.48204838983755e+09
91902,-117.018446,32.655667,true,Single Family,4,3,2568,760000,1.482048385718343e+09
91902,-117.008958,32.677393,true,Single Family,4,2,2104,659000,1.482048403297039e+09
91902,-117.029692,32.656689,true,Single Family,5,3,2434,679000,1.48204839394913e+09
91902,-116.997362,32.662731,false,,5,3.5,3064,,1.482048424408264e+09
91902,-117.027748,32.661628,true,Condo,3,2,1716,345000,1.482048411232421e+09
91902,-117.06059,32.656742,true,Single Family,3,2,1385,542000,1.482048428365487e+09
91902,-117.027278,32.670313,true,Single Family,5,3,3000,1.249e+06,1.482048444683676e+09
91902,-117.022739,32.677959,true,Single Family,3,2,1884,569000,1.482048415764643e+09
91902,-117.026791,32.654657,true,Single Family,4,3,2287,679900,1.482048432751255e+09
91902,-117.009872,32.677177,true,Single Family,4,2,1841,605000,1.48204844070125e+09
91902,-117.033802,32.674292,true,Single Family,6,4,3815,1.049e+06,1.481960383351645e+09
91902,-117.018584,32.664363,true,Single Family,5,4,2995,819000,1.481960387149262e+09
91902,-116.994492,32.655571,true,Single Family,4,3,2521,695000,1.482048436704013e+09
91902,-117.005264,32.659077,false,Single Family,5,3,3193,,1.482048470978355e+09
91902,-117.031847,32.654497,false,Single Family,4,3,2434,,1.481960403290985e+09
91902,-117.02304,32.685949,false,Single Family,4,2,2292,,1.48204849504664e+09
91902,-117.014478,32.657179,false,Single Family,4,2,1517,,1.481960410656504e+09
91902,-117.034144,32.654805,false,Single Family,4,2.5,2434,,1.481960414353321e+09
91902,-117.038216,32.660114,true,Condo,2,2,1007,259900,1.482048448828131e+09
91902,-117.032955,32.651128,false,Single Family,4,4,2965,,1.482048479112736e+09
91902,-116.991196,32.653528,false,Single Family,4,3,2105,,1.482048452896782e+09
91902,-117.004075,32.656239,false,Single Family,4,3,2488,,1.482048467062131e+09
91902,-117.017981,32.685769,false,Single Family,5,3,3564,,1.482048487110316e+09
91902,-117.019515,32.663477,false,Single Family,4,2,1960,,1.482048420424043e+09
91901,-116.765322,32.815517,true,Single Family,3,3,2400,645000,1.482049552271538e+09
